BKOB-0||to Michelle my love and life partner
BKOB-1||and Malia and Sasha who's dazzling light makes everything brighter
BKOB-2||oh fly and never tire fly and never Tire fly and never Tire there's a great camp meeting in the Promised Land
BKOB-3||from an African American spiritual don't discount our powers
BKOB-4||we have made a pass at the infinite Robert Frost
BKOB-6||I began reading this book shortly after the end of my presidency
BKOB-7||after Michelle and I had boarded Air Force One for the last time and traveled West
BKOB-8||for a long deferred break the mood on the plane was bittersweet
BKOB-9||both of us were drained physically and emotionally
BKOB-10||not only by the labors of the previous eight years but by the unexpected results of an election in which someone diametrically opposed to everything we stood for had been chosen as my successor
BKOB-11||still having run our leg of the race to completion we took satisfaction in knowing that we'd done our very best
BKOB-12||and that however much I'd Fallen short as president whatever projects I'd hoped but failed to accomplish
BKOB-13||the country was in better shape now than it had been when I'd started
BKOB-14||for a month Michelle and I slept late ate leisurely dinners
BKOB-15||went for long walks swam in the ocean took stock replenished our friendship rediscovered our love
BKOB-16||and planned for a less eventful but hopefully no less satisfying second act
BKOB-17||and by the time I was ready to get back to work and sat down with a pen and Yellow pad
BKOB-18||I still like writing things out in longhand finding the computer gives even my roughest drafts too smooth a gloss and blends half-baked thoughts the mask of tidiness
BKOB-19||I had a clear outline of the book in my head first and foremost I hope to give an honest rendering of my time in office
BKOB-20||not just a historical record of key events that happened on my watch and important figures with whom I interacted but also an account of some of the political economic and cultural crosscurrents that help determine the challenges my Administration faced and the choices my team and I made in response
BKOB-21||where possible I wanted to offer readers a sense of what it's like to be the president of United States
BKOB-22||I want to pull the curtain back a bit and remind people that for all its power and pump
BKOB-23||the presidency is still just a job and our federal government is a human Enterprise like any other
BKOB-24||and the men and women who work in the White House experience the same daily mixes satisfy
BKOB-25||disappointment office friction screw-ups and small triumphs as the rest of their fellow citizens
BKOB-26||finally I want to tell a more personal story that might Inspire young people considering a life of Public Service
BKOB-27||how my career in politics really started with a search for a place to fit in weight explain the different strands of my mixed up heritage
BKOB-28||and how it was only by hitching my wagon to something larger than myself
BKOB-29||but I was also able to locate a community
BKOB-30||and purpose for my life I figured I could do all that maybe 500 pages
BKOB-31||expected to be done in a year it's fair to say that the writing process
BKOB-32||despite my best intentions the book kept growing in length and scope
BKOB-33||reason why I've actually decided to break it into two volumes
BKOB-34||I'm painfully aware that the more gifted writer could have found a way to tell the same story
BKOB-35||with greater brevity after all my home office in the White House that right next to the Lincoln bedroom or a signed copy of the 272-word Gettysburg Address rest beneath a glass case
BKOB-36||but each time I sat down to write whether it was to describe the early phases of my campaign
BKOB-37||or my administration's handling of the financial crisis or negotiations with the Russians on nuclear arms control
BKOB-38||or the forces that led to the Arab Spring I found my mind resisting a simple linear narrative
BKOB-39||often I felt obliged to provide context for the decisions I and others have made
BKOB-40||and I didn't want to relegate that background to footnotes or endnotes
BKOB-41||I hate footnotes and endnotes I discovered that I couldn't always explain my motivations just by referencing reams of economic data or recalling and exhausted Oval Office briefing
