HLCL-0|keep going if you are scared keep going
HLCL-1|if you are hungry keep going if you want to taste Freedom keep going
HLCL-2|Harriet Tubman authors note
HLCL-3|this is my story of what happened it's the story of what I saw felt and thought during two of the most intense years I've ever experienced
HLCL-4|it's a story of what led me to this Crossroads of American history and how I kept going after a shocking defeat
HLCL-5|how I reconnected with the things that matter most to me and began to look ahead with hope instead of backward with regret
HLCL-6|it's also the story of what happened to our country why we're so divided and what we can do about it
HLCL-7|I don't have all the answers and this isn't a comprehensive account of the 2016 race that's not for me to write
HLCL-8|I have two little distance and two great a steak in it
HLCL-9|instead this is my story I want to pull back the curtain on an experience that was exhilarating joyful humbling infuriating and just plain baffling
HLCL-10|writing this wasn't easy everyday that I was a candidate for president I knew that millions of people were counting on me and I couldn't bear the idea of letting them down
HLCL-11|but I did I couldn't get the job done and I'll have to live with that for the rest of my life
HLCL-12|in this book it's from the campaign I wish I could go back and do over if the Russians
HLCL-13|I also capture some moments I want to remember forever like when my tiny granddaughter raced into the room while I was practicing my convention speech and what it was like ours later to step on stage
HLCL-14|to deliver that speech as the first woman ever nominated by a major political party for president of the United States
HLCL-15|I write about people who inspired me from a minister and South Carolina talk with me about love and kindness to Residents who banded together in a town poisoned by lead
HLCL-16|the tireless campaign volunteers giving everything they had for a better future
HLCL-17|and I share my thoughts on big challenges I've grappled with four decades that have taken on new urgency such as the roles that gender race and class play in our politics and the importance of empathy in our national life
HLCL-18|I tried to learn from my own mistakes there are plenty as you'll see in this book and they are mine and mine alone
HLCL-19|but that's not the end of the story we can't understand what happened in 2016 without confronting the audacious information Warfare
HLCL-20|wage from the Kremlin precedented intervention in our election by the director of the FBI
HLCL-21|a political press that told voters that my emails were the most important story and deep currents of anger and resentment flowing through our culture
HLCL-22|I know some people don't want to hear about these things especially from me
HLCL-23|but we have to get this right the lessons we draw from 2016 could help determine whether we can heal our democracy and protected in the future and whether we as Citizens can begin to bridge our divides
HLCL-24|I want my grandchildren and all future generations to know what really happened we have a responsibility to history to a concerned world to set the record straight
HLCL-25|I also share with you the painful days that followed the election
HLCL-26|lot of people have asked me how did you even get out
HLCL-27|reading the news every morning was like ripping off a scab each new revelation and outrage made it worse
HLCL-28|it has been maddening to watch our country's standing in the world plummet and to see Americans live in fear that their Healthcare might be taken away so that the super-rich can get a tax cut
HLCL-29|there are times when all I want to do is Scream into a pillow
HLCL-30|but slowly on a personal level it has gotten better or at least less terrible
HLCL-31|I did quite a bit of thinking and writing some praying some stewing and in time a good deal of laughing
HLCL-32|I went on a lot of long walks in the woods with my husband and our dogs tally and Maisy who took this much better than we did
HLCL-33|I surrounded myself with friends and caught up on some of the shows that people have been telling me about four years as well as a lot of HD
HLCL-34|best of all I spent time with my wonderful grandchildren
HLCL-35|making up for all the bedtime stories and songs in the bathtub I missed during my long months on the campaign Trail
HLCL-36|I believe this is what some call self-care it turns out it's pretty great
HLCL-37|now when people ask how I'm doing I say that as an American I'm more worried than ever but as a person I'm doing okay
HLCL-38|this book is the story of that Journey riding it has been cathartic I got angry and sad all over again
HLCL-39|at times I've had to step away lie down close my eyes and try to empty my mind
HLCL-40|this book has been hard to write for another reason
HLCL-41|I've lost count of the number of times that I sat at my kitchen table working on these Pages been interrupted by a breaking news alert hung my head and sigh
HLCL-42|and then took out my red pan and started revising
HLCL-43|I tried to make my peace with painful memories and recapture some of the fun that's still more days on the campaign and you might think
HLCL-44|in the past four reasons that I try to explain I've often felt I had to be careful in public like I was up on a wire without a net
HLCL-45|now I'm letting down my guard by the time I finished writing I felt ready to face the future again I hope that by the end you'll be right there with me
HLCL-46|I will always be grateful to have been the Democratic party's nominee and to have earned 65844610 votes from my fellow Americans
HLCL-47|that number more votes than any candidate for president has ever received other than Barack Obama
HLCL-48|is proof that the ugliness we faked Easton 2016 does not define our country
