LAFB-1||party of Ku Klux Klan Riders Gallop to our home in Omaha Nebraska
LAFB-2||the one night surrounding the house brandishing their shotguns and rifles they shouted for my father to come out
LAFB-3||my mother went to the front door and opened it standing where they could see her pregnant condition she told them that she was alone with her three small children and that my father was away preaching in Milwaukee
LAFB-5||my father the Reverend Earl little was a Baptist Minister a dedicated organizing for Marcus Aurelius garbes unia Universal negro Improvement Association
LAFB-6||with the help of such disciples as my father gobbi from his headquarters in New York City Harlem was Raising
LAFB-7||Banner of black race Purity and exhorting the Negro masses to return to their ancestral African Homeland a cause which it made Garvey the most controversial black man on Earth
LAFB-8||still shouting threats the klansman finally spurred their horses and galloped around the house shattering every window pane with their gun butts
LAFB-9||then they rode off into the night their torches flaring as suddenly as they had come
LAFB-10||my father was in Rage when he returned he decided to wait until I was born which would be soon and then the family would move
LAFB-11||I am not sure why he made this decision for he was not a frightened negro as most than were and many still are today
LAFB-12||my father was a big 6 ft for very black man
LAFB-13||he had only one eye how he lost the other one I have never known
LAFB-14||he was from Reynolds Georgia where he had left school after third or maybe fourth grade
LAFB-15||he believed as did Marcus Garvey the freedom Independence and self-respect could never be achieved by the Negro in America and that therefore the Negro should leave America to the white man and returned to his African land of origin
LAFB-16||among the reasons my father had decided to risk and dedicate his life to help disseminate this philosophy among his people
LAFB-17||was that he had seen four of his six brothers died by violence three of them killed by white men including one by lynching
LAFB-18||what my father could not know then was that of the remaining three including himself only one my Uncle Jim would die in bed of natural causes
LAFB-19||Northern white police were later to shoot my uncle Oscar and my father was finally himself to die by the white man's hands
LAFB-20||it is always been my belief that I too will die by violence I have done all that I can to be prepared
LAFB-21||I was my father's seventh child he had three children by a previous marriage Ella Earl and Mary who lived in Boston
LAFB-22||he had met and married my mother in Philadelphia where their first child my oldest full brother Wilfred was born
LAFB-23||they moved from Philadelphia to Omaha where Hilda and Filbert were born
LAFB-24||I was next in line my mother was 28 when I was born on May 19th 1925 in an Omaha Hospital
LAFB-25||then we move to Milwaukee where Reginald was born
LAFB-26||from infancy he had a kind of hernia condition which was to handicapped him physically for the rest of his life
LAFB-27||Louise little my mother was born in Grenada in the British West Indies look like a white woman
LAFB-28||her father was white she had straight black hair and her accent did not sound like a Negroes
LAFB-29||of this white father of hers I know nothing except her Shame about it
LAFB-30||I remember hearing her say she was glad that she had
LAFB-31||Racine him it wasn't course because of him I got my reddish-brown marigny color of skin and my hair the same color
LAFB-32||I was the lightest child in our family out in the world later on in Boston and New York I was among the millions of negroes who were insane enough to feel that it was some kind of status symbol to be like complexion the one that wasn't actually fortunate to be born this
LAFB-33||but still later I learned to hate every drop of that white rapist blood that is in me
LAFB-34||our family stayed only briefly in Milwaukee for my father wanted to find a place where he can raise our own food and crab to build a business
LAFB-35||the teaching of Marcus Garvey stress becoming independent of the white man
LAFB-36||we went next for some reason to Lansing Michigan
LAFB-37||my father bought a house and soon as have been his pattern he was doing freelance Christian preaching in local negro Baptist churches and during the week he was roaming about spreading word of Marcus Garvey
LAFB-38||it began to Layaway savings for the store he had always wanted to own when as always some stupid local Uncle Tom Negroes began to funnel stories about his revolutionary beliefs to the local white people
LAFB-39||this time to get out of town threats came from a local hate society called the black Legion
LAFB-40||they wore black robes instead of white soon nearly everywhere my father went black Legion ears were revealing him is an uppity Niger for wanting to own a store for living outside the Lansing negro district for spreading unrest and dissension among the good niggars
LAFB-41||as an Omaha my mother was pregnant again this time with my youngest sister
LAFB-42||shortly after Yvonne was born came the Nightmare Night in 1929 my earliest vivid memory
LAFB-43||I remember being suddenly snatched awakened to a frightening confusion of pistol shots and shouting and smoke and Flames my father had shouted and Shaw
LAFB-44||at the two white men who had set the fire and we're running away
LAFB-45||our home was burning down around us we were lunging and bumping and tumbling all over each other trying to escape
LAFB-46||my mother with the baby in her arms just made it into the yard before the house crashed in showering Sparks
LAFB-47||I remember we were outside in the night in our underwear crying and yelling our heads off the white police and fireman came and stood around us watching as the house burned to the ground
LAFB-48||my father prevailed on some friends to close and houses temporarily
LAFB-49||then he moved us into another house on the outskirts of East Lansing
LAFB-50||in those days Negroes weren't allowed after dark in East Lansing proper
LAFB-51||that's where Michigan State University is located
LAFB-52||I related all of this to an audience of students when I spoke there in January 1963 and had the first reunions in a long time with my younger
LAFB-53||the Robert who was there doing postgraduate studies in psychology
