NDGT-2||evidence for this abounds from Hit television shows inspired or informed by science to the success of Science Fiction film starring Marquis actors and brought to the screen by celebrated producers and directors
NDGT-3||and lately CI trickle release biopics featuring important scientist and become a genre unto itself there's also widespread interest around the world in science festival science fiction convention in science documentaries for television
NDGT-4||the highest grossing film of all time is by a famous director who said his story on a planet orbiting a distant star
NDGT-5||and it features a famous actress who plays an astrobiologist
NDGT-6||what most branches of science have ascended in this era the field of astrophysics persistently Rises to the top
NDGT-7||I think I know why at one time or another every one of us has looked up at the night sky and wondered what does it all mean how is it all work and what is my place in the universe
NDGT-8||if you're too busy to absorb the cosmos by a classes textbooks or documentaries and you nonetheless he could brief but meaningful introduction to the field I offer you astrophysics for people in a hurry
NDGT-9||into swim Bali you learn a foundational fluency in all the major ideas in discoveries the driver modern understanding of the universe
NDGT-10||if I succeeded you'll be culturally conversant in my field of expertise and you just may be hungry for more
NDGT-11||the universe is under no obligation to make sense to you
NDGT-12||chapter 1 The Greatest Story Ever Told
NDGT-13||the world has persisted many a long year having once been set going into the appropriate motions from these everything else follows
NDGT-14||lucretius 50 BC
NDGT-15||in the beginning nearly 14 billion years ago all the space and all the matter and all the energy of the known universe was contained in a volume less than one trillionth the size of the. That ends the sentence
NDGT-17||Einstein's general theory of relativity Woodforest in 1916 give us our modern understanding of gravity in which the presence of matter and energy curves the fabric of space and time surrounding it
NDGT-19||although we haven't yet reached the Finish Line we know exactly where the
NDGT-20||my hurdles are is during the Planck era of the early universe that's the interval of time from t equal 0 up 2T equals 10 to the - 43 seconds
NDGT-21||110 million trillion trillion trillions of a second after the beginning and before the universe Groove to 10 to the - 35 m
NDGT-23||the clash between gravity and Quantum mechanic poses no practical problem for the Contemporary universe
NDGT-24||astrophysicist apply the tenets and tools of general relativity and quantum mechanics two very different classes of problems but in the beginning during the Planck era
NDGT-26||we none of us expect that by the end of the Planck era gravity wriggled loose from the other still unified forces of nature achieving an independent identity nicely described by our current theories
NDGT-28||with the weak Force controlling radioactive decay the strong show
NDGT-29||binding the atomic nucleus the electromagnetic force binding molecules and gravity binding bulk matter
NDGT-30||trillionth of a second has passed since the beginning
NDGT-31||all the while the interplay of matter in the form of subatomic particles and energy in the form of photons massless vessels of light energy that is much waves as they are particles was incessant
NDGT-33||how much energy your matter is worth the c squared is the speed of light squared a huge number which when multiplied by The Mask reminds us how much energy you actually get in this exercise
NDGT-35||so each comes in several varieties the ordinary photon is a member of the boson family the let X most familiar to the non physicists are the electron and perhaps the neutrino
NDGT-36||and the most familiar quarks are well there are no familiar quarks each of their six subspecies has been assigned an abstract name that serves no real philological philosophical or pedagogical purpose except to distinguish it
NDGT-37||mother's up and down strange and Charmed and top and bottom
NDGT-38||bosons by the way or name for the Indian scientist sucky and written off Bose the word Lettin derived from the Greek Leto's meaning light or small
NDGT-40||3 corks for muster Mark Winston Court to do have going for them all their names are simple
NDGT-41||something chemist biologist and especially geologist seem incapable of achieving when naming their own stuff
NDGT-42||corks or quirky beats unlike protons each with an electric charge of plus one and electrons with a charge of -1 quarks have fractional charges that come in thirds
NDGT-44||separate the quarks enough the rubber band snaps and the stored energy summons equals mc squared to create a new Quark at each end leaving you back where you started
NDGT-46||the discovery of this state of matter has a kind of Quark cauldron was reported for the first time in 2002 by a team of physicists at the Brookhaven National Laboratories Long Island New York
NDGT-47||strong theoretical evidence suggests that an episode in the very early Universe perhaps during one of the four splits endow the universe with a remarkable asymmetry in which particles of matter mayerle outnumbered particles of antimatter
NDGT-48||by about a billion in one to a billion
NDGT-49||that's small difference in population would hardly get noticed by anybody amid the continuous creation Annihilation and Recreation of quarks and antiquarks electrons and anti electrons better known as positrons and neutrinos and antineutrinos
NDGT-50||the odd man out rules of opportunity to find somebody to annihilate with and so did everybody else
NDGT-51||not for much longer as the cosmos continue to expand and cool row
NDGT-52||larger than the size of our solar system the temperature dropped rapidly below a trillion degrees Kelvin
NDGT-53||a millionth of a second has passed since the beginning
NDGT-54||this tepid Universe was no longer hot enough or dense enough to cook quarks and so they all grabbed dance Partners creating a permanent new family of heavy particles called hadrons
NDGT-55||from the Greek hadros meaning thick
NDGT-56||Tech work to hadron transition soon resulted in the emergence of protons and neutrons as well as other less-familiar heavy particle or compose a various combinations of quarks PCS
NDGT-58||Hadron Collider the slight matter-antimatter asymmetry afflicting the Quark lepton soup now passed to the hadrons but with extraordinary consequences
NDGT-59||as the universe continue to cool the amount of energy available for the spontaneous creation of basic particles dropped
NDGT-60||during the hedron era ambient photons could no longer invoke E equals MC squared to manufacture quark-antiquark pairs
NDGT-61||not only that the photons that emerge from all the remaining Annihilation lost energy to the ever-expanding universe dropping below the threshold required to create hadron anti had run pairs
NDGT-62||for every billion and violations leaving a billion photons in their wake a single hadrons survive
NDGT-63||those lawyers would get to have all the fun serving as the ultimate source of matter to create galaxies stars planets and petunias
NDGT-64||without the billion and one to a billion imbalance between matter and antimatter all mass of the universe would have self annihilated leaving a cosmos made of photons and nothing else the ultimate let there be lights in area
NDGT-65||by now one second of time has passed
NDGT-66||the universe has grown to a few light-years across about the distance from the Sun to the closest neighboring Stars
NDGT-68||what was true for quarks and true for hadrons had become true for electrons eventually only one electron in a billion survives the rest annihilate with positrons their antimatter sidekick
NDGT-69||in a sea of photons right about now one electron for every proton has been frozen into existence
NDGT-71||2 minutes have now passed since the beginning
NDGT-72||for another three hundred and eighty thousand years not much will happen to our particle soup throughout these Millennia the temperature remains hot enough for electrons to roam free among the photons batting them to and fro as they interact with one another
NDGT-73||but this Freedom comes to an abrupt end when the temperature of the universe Falls below 3000
NDGT-75||for the first billion years the universe continue to expand and cool as matter gravitated into the massive concentrations we call Galaxy S
NDGT-76||nearly 100 billion of them formed each containing hundreds of billions of stars that undergo thermonuclear Fusion in their cores
NDGT-77||those stars with more than about 10 times the mass of the Sun the chief sufficient pressure and temperature in their cores to manufacture dozen development heavier than hydrogen including those that compose a planet and whatever life make Thrive upon them
NDGT-78||these elements would be stunningly useless where they tow
NDGT-81||this occurred in the form of high-speed high energy impacts which rendered Multan the surfaces of the rocky planets preventing the formation cam
NDGT-82||it's molecules as less and less a credible matter remained in the solar system planets surfaces began to cool
NDGT-85||lease early single-celled organisms unwittingly transformed Earth's carbon dioxide Rich atmosphere into one with sufficient oxygen to allow aerobic organism
NDGT-87||we owe the remarkable diversity of life on Earth and we presume elsewhere in the universe to the cosmic abundance of carbon and the countless number of simple and complex molecules that contain it
NDGT-88||there's no doubt about it more varieties of carbon-based molecules exist than all other kinds of molecules combine
NDGT-89||but life is fragile Earth's occasional encounters with large Wayward comets and asteroids a formerly common event wreaks intermittent Havoc Upon Our ecosystem
NDGT-90||a mere 65 million years ago less than 2% of Earth's past attend trilliant on asteroid
